Id,Label,timeset
10870,"STACY, GWEN (CLONE)",
10871,",""GREEN GOBLIN IV/PHIL",
10872,",""STACY, GWEN (CLONE)",
10873,",""SPIDER-MAN/PETER PAR",
10874,"BUCKNER, GRANT",
10875,STUNNER/ANGELINA BRA,
10876,"TRAINER, DR. SEWARD",
10877,",""SPIDERCIDE",
10878,",""BUCKNER, GRANT",
10879,",""ELLIS, KEN",
10880,",""STUNNER/ANGELINA BRA",
10881,",""TRAINER, DR. SEWARD",
10882,"TRAVELLER, DR. JUDAS",
10883,"TOWER, BLAKE",
10884,"LOCKER, MR.",
10885,",""WATSON, ANNA",
10886,",""TOWER, BLAKE",
10887,",""LOCKER, MR.",
10888,HINDSIGHT LAD/CARLTO,
10889,SPEEDBALL II/DARRION,
10890,GEE/ALEX POWER,
10891,TURBO II (A)/MICHIKO,
10892,BLACK CAT/FELICIA HA,
10893,D'SPAYRE,
10894,"PROUST, PAUL",
10895,",""D'SPAYRE",
10896,MACHETE/FERDINAND LO,
10897,ZARAN/MAXIMILLIAN ZA,
10898,SILVER SABLE,
10899,TRICKSHOT,
10900,SWORDSMAN/JACQUES DU,
10901,SANDMAN/WILLIAM BAKE,
10902,"PEREGRINE, LE/FRANCK",
10903,RED SKULL II/ALBERT,
10904,",""PEREGRINE, LE/FRANCK",
10905,GUDRUN [ASGARDIAN],
10906,VOLSTAGG,
10907,HOGUN [ASGARDIAN],
10908,FANDRAL [ASGARDIAN],
10909,VIZIER,
10910,ODIN [ASGARDIAN],
10911,DOMINO III/BEATRICE/,
10912,HYDROMAN/MORRIE BENC,
10913,STILT-MAN/WILBUR DAY,
10914,BLOCKADE/DEXTER PARI,
10915,"MERRYWEATHER, IRENE",
10916,BLAQUESMITH,
10917,"WORTHINGTON, KATHRYN",
10918,"WORTHINGTON, WARREN",
10919,VULTURE/ADRIAN TOOME,
10920,VULTURE II/BLACKIE D,
10921,"OSBORN, HARRY",
10922,"STACY, CAPT. GEORGE",
10923,"STACY, GWEN",
10924,GREEN GOBLIN/NORMAN,
10925,",""VULTURE II/BLACKIE D",
10926,",""OSBORN, HARRY",
10927,",""STACY, CAPT. GEORGE",
10928,",""JACKAL/MILES WARREN",
10929,",""STACY, GWEN",
10930,SILVERMANE/SILVIO MA,
10931,GREEN GOBLIN III/BAR,
10932,",""GRANT, GLORIA GLORY",
10933,",""SILVERMANE/SILVIO MA",
10934,"PULASKI, JOSEPHINE J",
10935,"SHIFFMAN, MAXIE",
10936,"OSBORN, LIZ ALLAN",
10937,"MCKEEVER, TINY",
10938,"IONELLO, JASON",
10939,GLADIATOR II,
10940,"RICHARDS, FRANKLIN B",
10941,",""GLADIATOR II",
10942,ARISHEM [CELESTIAL],
10943,ZIRAN,
10944,GAMMENON [CELESTIAL],
10945,ONE ABOVE ALL [CELES,
10946,WONG,
10947,CLEA,
10948,UMAR,
10949,",""CLEA",
10950,",""UMAR",
10951,"ALRAUNE, MARLENE",
10952,JESTER/JONATHAN POWE,
10953,DAREDEVIL/MATT MURDO,
10954,NEDDA,
10955,"LANDERS, GENA",
10956,"CRAWLEY, BETRAND",
10957,"MANOLIS, LT. NICK",
10958,FRENCHIE/JEAN-PAUL D,
10959,"BUSHMAN, RAOUL",
10960,"LANDERS, RICKY",
10961,SAMUELS,
10962,"LANDERS, RAY",
10963,"MASTERS, ALICIA REIS",
10964,FEAR EATER/KKALLAKKU,
10965,LURKING UNKNOWN,
10966,"WOLFE, SARA",
10967,DWELLER IN DARKNESS,
10968,SCARECROW II,
10969,NOX,
10970,RINTRAH,
10971,",""LURKING UNKNOWN",
10972,",""WOLFE, SARA",
10973,",""DWELLER IN DARKNESS",
10974,",""SCARECROW II",
10975,",""NIGHTMARE/EDVARD HAB",
10976,",""NOX",
10977,",""RINTRAH",
10978,PHOBOS,
10979,DEIMOS,
10980,"CHANG, IMEI",
10981,",""PHOBOS",
10982,TOPAZ,
10983,DR. DRUID/ANTHONY LU,
10984,BARON BLOOD II/VICTO,
10985,"BLESSING, MORGANA",
10986,PIP/PRINCE GOFERN,
10987,GAMORA,
10988,",""TOPAZ",
10989,",""DR. STRANGE/STEPHEN",
10990,",""WONG",
10991,FRANKENSURFER/BORGO,
10992,"VON FRANKENSTEIN, BA",
10993,DRACULA/VLAD TEPES,
10994,DR. DOOM/VICTOR VON,
10995,",""PIP/PRINCE GOFERN",
10996,",""DR. DOOM/VICTOR VON",
10997,CERBERUS,
10998,HELA [ASGARDIAN],
10999,FIRELORD/PYREUS KRIL,
11000,",""DRAX/ARTHUR DOUGLAS",
11001,",""HELA [ASGARDIAN]",
11002,AGAMOTTO,
11003,SILVER DAGGER/ISAIAH,
11004,",""BARON BLOOD II/VICTO",
11005,",""AGAMOTTO",
11006,"CAESAR, JULIUS",
11007,ZOTA,
11008,THANOS,
11009,CLEOPATRA,
11010,",""CAESAR, JULIUS",
11011,MEPHISTA,
11012,MEPHISTO,
11013,SATANNISH,
11014,",""BLESSING, MORGANA",
11015,",""CHANG, IMEI",
11016,"SLOAN, DR.",
11017,HOBGOBLIN III/LEFTY,
11018,HOBGOBLIN II/RODERIC,
11019,",""OSBORN, LIZ ALLAN",
11020,",""SLOAN, DR.",
11021,",""BLACK CAT/FELICIA HA",
11022,",""WATSON-PARKER, MARY",
11023,",""HOBGOBLIN II/RODERIC",
11024,",""HOBGOBLIN III/LEFTY",
11025,",""UATU",
11026,FROG-MAN II/EUGENE P,
11027,"LUBENSKI, NATE",
11028,FOREIGNER/RAFAEL BAS,
11029,"BANNON, LANCE",
11030,",""BANNON, LANCE",
11031,",""MUGGINS, MAMIE",
11032,",""THINKER",
11033,"MUGGINS, MAMIE",
11034,THINKER,
11035,"HOCHBERG, ROGER",
11036,LIZARD/DR. CURTIS CO,
11037,",""HOCHBERG, ROGER",
11038,",""LIZARD/DR. CURTIS CO",
11039,"KINGSLEY, DANIEL",
11040,"JAMESON, MARLA MADIS",
11041,",""KINGPIN/WILSON FISK",
11042,"COUNT NEFARIA, LUCHI",
11043,PLANTMAN/SAM SMITHER,
11044,SCARECROW/EBENEZER L,
11045,ZELDA,
11046,EEL/LEOPOLD STRYKE,
11047,"CANTOR, VERA",
11048,PORCUPINE/ALEX GENTR,
11049,UNICORN/MYLOS MASARY,
11050,",""PLANTMAN/SAM SMITHER",
11051,",""SCARECROW/EBENEZER L",
11052,",""ZELDA",
11053,",""HENDERSHOOT, COLONEL",
11054,",""PORCUPINE/ALEX GENTR",
11055,",""COUNT NEFARIA, LUCHI",
11056,",""FREDERICKS, GENERAL",
11057,",""PENANCE/MONET ST. CR",
11058,",""EEL/LEOPOLD STRYKE",
11059,",""UNICORN/MYLOS MASARY",
